"model","ratio_id","ratio_percent","backflow_count_manifest","backflow_count_derived","selection_csv"
"yolo11m-cls","hn00","0","0","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn00_backflow_selection.csv"
"yolo11m-cls","hn02","2","22","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn02_backflow_selection.csv"
"yolo11m-cls","hn04","4","43","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn04_backflow_selection.csv"
"yolo11m-cls","hn06","6","65","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn06_backflow_selection.csv"
"yolo11m-cls","hn08","8","86","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn08_backflow_selection.csv"
"yolo11m-cls","hn10","10","108","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn10_backflow_selection.csv"
"yolo11m-cls","hn12","12","130","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn12_backflow_selection.csv"
"yolo11m-cls","hn14","14","151","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn14_backflow_selection.csv"
"yolo11m-cls","hn16","16","173","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn16_backflow_selection.csv"
"yolo11m-cls","hn18","18","194","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn18_backflow_selection.csv"
"yolo11m-cls","hn20","20","216","0","H:\stage1_HN_m_shared_materials\rebuild_indexes\m\hn20_backflow_selection.csv"

